,Body
48,"Es ist wirklich lästig, dass das Stornieren bzw. Abmelden der Newsletter beim ""Standard"" so kompliziert ist.
Seit Wochen versuche ich, dies zu tun. Habe alle Hakerl von der Liste entfernt und trotzdem erhalte ich nach wie vor diese verflixten Newsletter.
Vielleicht fühlt sich beim ""Standard"" irgendjemand verantwortlich und stellt den Bezug der Newsletter endlich ein. 

mfg."
49,"Können Sie uns bitte eine Mail mit Ihren Zugangsdaten an foren@derStandard.at schicken, damit wir Ihnen weiterhelfen können. Vielen Dank! MfG"
50,"Antworten erst beim Erscheinen als e-Mail dem Poster zugestellt würden.

Es gibt User, die ihre Kommentare sofort nach Mail-Eingang irgendwo hinposten. Dadurch wird 
1. vor allem für andere Unser die Lesbarkeit wesentlich beeinträchtigt,
2. kann das Post verdreht wiedergegeben werden,
3. man ist immer wieder gezwungen die Antwort richtig zu stellen.

Privatfehden von Usern sollten, wenn schon zugelassen, für alle User nachvollziehbar sein.

Danke!"
51,Vielen Dank für Ihre Anregung! Wir werden sie weiterleiten. MfG
52,Das Problem besteht immer noch.
53,"Zurzeit liegt das Thema in unserer Technik-Abteilung, um die technische Realisierbarkeit zu prüfen. MfG"
54,Wie kann ich meine Newsletter für die Dauer meines Urlaubes abmelden? Ich finde nur die Möglichkeiten an- und abmelden. Klären sie mich bitte auf!
55,"Den Newsletter können Sie für die Dauer Ihres Urlaubes nicht deaktivieren, Sie können ihn nur abmelden und nach dem Urlaub wieder anmelden. Wir werden aber Ihre Idee gerne weiterleiten. MfG"
56,das war früher aber möglich!
57,Bitte ich möchte keine Mails mehr kriegen. Deaktivieren Sie mir diese sch..ß Newsletter. Da kenn sich kein schwein aus wie mann das macht. Danke und auf nieee wiedersehen.
58,wäre möglich dasselbe - nach themen geteilt - auf twitter zu haben?
59,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
60,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
61,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
62,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
63,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
64,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
65,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun?"
66,"Wo bleibet denn nun der Immo-Newsletter des Standard - Immo ein Thema das (fast) jeden bewegt (der schon wohnt und nicht nur lebt ;) und das einst sogar den Kurier zur Schaffung seines (zumindest in der Vor-web-Ära) erfolgreichen ImmoBuch´s veranlasste. Immobilienthemen sind ""Lesestoff"" für viele und dankenswerterweise auch noch gut aufbereitet im onlineStandard, also wo bleibt er nun also?"
67,"die frequenz der a-mails so drastisch zu erhöhen? wenn jede nebensächlichkeit - ""unesco streicht den wr. ball aus dem weltkulturerbe"" oh wie weltbewegend - plötzlich zu einer wichtigen alert-nachricht wird, wird daraus letztendlich nur mehr belangloses rauschen.

bisher gab's max. 1x pro monat entsprechende mails, die es auch immer wert waren bevorzugt gelesen zu werden, seit anfang des jahres kommt so eine mail bis zu 2x täglich (und gerade die nächste ""rick perry gibt auf"" - schon besser aber immer noch nix, was erhöhte aufmerksamkeit erfordern würde).

ergo blendet man es irgendwann aus oder meldet es besser gleich ab..."
68,meine Postings werden auch nicht alle freigeschalten und zumeist zurückgehalten; ich pfeif auf eure MEINUNG ZUR MEINUGSFREIHEIT!
69,"Ja, unglaublich laestig... Hab mich auch gerade abgemeldet..."
70,"Versuche verzweifelt meine Telefonnummer richtig einzugeben: zB Schweiz = 0041218071012 oder +41418071012 oder in der Annahme, dass Sie die Ländervorwahl aufgrund meines Standortes automatisch dazufügen = 0218071012.
Habe auch alle Kommentare gelesen. So gut Ihre Zeitung ist, so wünschenswert wäre eine Vereinfachung solcher Prozedere.
Vielen Dank"
71,"Im Telefonnummer-Feld sehen Sie, wie die Nummer einzugeben ist - nämlich Vorwahl/Rufnummer, d.h. mit einem Schrägstrich."
72,zwei jahre später...
73,"Ja, leider. Wir beheben das nicht mehr in der alten Infrastruktur, deshalb dauert das so lange. Abhilfe wird das neue Notification Center schaffen: http://derstandard.at/1358305692982/Community-Ausblick?_artikelIndex=6"
74,Wahrscheinlich eh besser so. Lieber Zeit lassen und g'scheit machen ;)
75,"konnte aber noch nie ein Posting absetzen. Weiß nicht warum, an der Form kann es nicht gelegen sein. 
War weder flegelhaft noch sonst verletzend, immer zum Thema gepostet.
Werden gewisse IP-Adressen gefiltert? 
Den Newsletter bekomme ich zwar regelmäßig."
76,Gibt es auch einen Newsletter für den Bereich Wissenschaft und Forschung?
77,"Es gibt keinen eigenen Newsletter für Wissenschaft und Forschung, Sie finden aber Meldungen aus diesem Themenbereich im täglichen D-Mail Newsroom bzw. im wöchentlichen W-Mail.
Alternativ könnten Sie mit dem Browser oder Feedreader Ihres Vertrauens den RSS-Feed des Wissenschaftsressorts nützen."
78,"ich kann keinen hinweis finden, wo man sich hinwenden muss, sollte man als abonnent des standard, die zeitung nicht bekommt, ist dass bewusst so arrangiert?"
79,"Hier finden Sie unsere wichtigsten Kontakte: 

http://derstandard.at/2000010725045/Kontakt-zum-STANDARD

(cmb)"
80,"Sehr geehrte Community oder cmb!

Bekomme seit einigen Tagen unaufgefordert ""Antworten"" auf meine Mail-Adresse, zu meinen postings, die ich nicht verlangt oder sonst wie bestellt hätte.

Bitte streichen Sie mich aus dieser Liste, habe selbst nachgeschaut in mein Userkonto...kann keine Abo Bestellungen von News letters feststellen, die ich irrtüml. getätigt hätte.

Wäre dankbar, wenn Sie dies abstellen. 

Ich poste nämlich laufend hier, und kann nicht noch vom Mail aus auch antworten.

Vielen Dank und einen schönen Tag,

La paloma"
81,"Lieber User la paloma,

Wenn Sie ein Posting verfassen und keine Antworten zugeschickt bekommen wollen, klicken Sie bitte unter dem Postingfenster ""Ich will alle Kommentare zu diesem Artikel per E-Mail erhalten"" sowie ""Ich möchte Reaktionen auf meinen Kommentar per E-Mail erhalten"" das Häkchen weg, dann erhalten Sie auch keine Mails. (sni)"
82,"@ sni, danke für die Antwort! Habe das ehrlich gesagt noch nie beachtet. 

In den letzten Tagen jedoch einige ungewollte ""Antworten"" auch per Mail bekommen.

Eine ungebührliche noch dazu.

Dennoch, danke, und ein gutes Wochenende für Sie."
83,"Gibt es die Möglichkeit, seinen Namen zu ändern, zB wegen ""stalking"" anderer Blogteilnehmer?"
84,"Sie können Ihren Postingnamen unter ""Stammdaten"" ändern. Diese Möglichkeit wird es künftig jedoch nicht mehr geben. Sie können uns über ""Melden"" bei Postings auch auf Belästigungen durch anderen UserInnen hinweisen."
85,"Ich fand es sowieso arg, dass man hier dauernd den Postingnamen nach Belieben ändern kann, das fördert doch nur die Trollereien!"
86,Posting mehr von mir?
87,"und wie DEaktiviert man sich als poster? endgültig. nirgends finde ich einen hinweis, wie man wieder die community verlässt. sollte doch machbar sein, oder?"
88,habs gefunden :-)
89,wo haben sie`s gefunden ?
90,http://derstandard.at/2929103/Frequently-Asked-Questions-zum-Forum?id=2929103&_artikelIndex=15
91,"In einer Welt, in der man jede endliche Zahl von Mailadressen haben kann, kann man auch jede endliche Zahl von Usern erstellen."
92,"also die Posts nicht mehr veröffentlich werden - Generell nicht, keine bestimmten?

Wie erfährt man (außer durch Trial and Error), dass man auf so einer Blacklist ist?"
93,"gibt es eine möglichkeit offiziell als eine firma zu posten?
daher name der firma irgendwie optisch abgehoben mit logo ev.
ich erwarte mir ein wenig kundenzulauf und im gegenzug befülle ich das forum mit meinem sachwissen."
94,"Derzeit leider nicht. Wir hatten einmal ein solches Produkt, ""Poweruser"" ( http://derstandard.at/2929103/Frequently-Asked-Questions-zum-Forum?id=2929103&_artikelIndex=11 ), dieses wird aber erst überarbeitet. Aber Sie können sich gerne an sales@derstandard.at wenden, wir finden sicher eine Lösung!"
95,naja...
96,"trotz button 'angemeldet bleiben' werden ständig neue Anmeldungen verlangt, es gibt umständliche Umleitungen zur Startseite .... was ist los?"
97,"Es könnte sein, dass das Problem etwas mit Ihren Cookie-Einstellungen zu tun hat - mehr Info gibt es hier: http://derstandard.at/1369361794454/Ein-Login-fuer-derdiedaStandardat"
98,"ich möchte mein ""profil"" gerne löschen, könnt ihr mir bitte verraten, wie das geht ?
Ich finde einfach nichts, wo ich mich löschen kann...
vielleicht bin ich auch zu blöd dafür oder sehe den wald vor lauter bäumen nicht...

DANKE !"
99,"Bitte um eine E-Mail an foren@derstandard.at, http://derstandard.at/2929103/Frequently-Asked-Questions-zum-Forum?id=2929103&_artikelIndex=15

ps: warum?"
100,"Meine Posting werden nicht veröffentlicht, was kann da tun?"
101,"Wenn ich mir hier einige Kommentare lese muss ich zu Recht schreiben, das manche keine Ahnung von garnichts haben. Was spielt das eine Rolle ob Hikmet sich wie ein Männer oder Frauenname anhört? Was hat das überhaupt mit der internen Wahl zu tun? Das ein Politiker die Chance erhält mit so jungen Jahren etwas zu verändern finde ich total okay. Ihr kennt ihm ja nicht einmal persönlich, also was sollen diese sinnlosen Kommentare und Vorurteile? Habt ihr euch mal mit ihm zusammen gesetzt und über seine Ideen, Vorschläge oder seinen Charakter unterhalten? Er hat mit Salafisten und Pro-Erdogan Leuten nichts zu tun. Ihr wisst gar nichts von ihm und schon schreibt ihr abweichende Dinge an denen es an Wahrhaftigkeit von vorne bis hinten mangelt."
102,"Liebe Community,

bei mir werden 11 follower angezeigt, ich kann in meinem Profil aber nur 10 sehen.
Gibts da eine Erklärung ?"
103,"Stimmt. Manche Leute sind so ahnungslos, dass sie in der falschen Rubrik posten."
104,"Ja, ein simpler Bug, den wir bald beheben!"
105,"Danke für die Antwort.
Ihr seid super :-)"
106,"da soviele expertis hier posten möchte ich auch noch meinen herzenswunsch loswerden.
wer hat damals den teris-nachfolger Weltris gespielt. ich finde das spiel einmalig, weil man vor allem keinen faden gegner/verlierer/gewinner braucht; und reaktionsfähigeit gefragt ist.
leider habe ich schon viele male alles im netzt durchsucht - ohne erfolg. würde mich über einen link oder sonstigen hinweisen sehr freuen. danke. 
(zum mac: mein e-mac, hatte damals 512k! (war es 1986 oder 1987?) mit Word 1.1, dem schweren nadeldrucker ..II und eine 10MB HD von paradise schlappe 9000 deutschmark gekostet und steht immer noch betriebsbereit bei mir. leider ist die HD mal hopps gegangen, jetzt hab' ich nur noch das gehäuse. - hab' es nie bereut!)"
107,"Vielleicht bin ich zu doof, aber mit derStandi-Regi kommt man immer noch nicht in dieStandi, oder irre ich? Ist das Absicht?"
108,"Ist es schon überarbeitet?
Ich möchte wieder so berühmt werden wie früher. Das hat mir damals sagenhaft viele perverse Kontakte verschafft."
109,"Gibt es eine Meldeadresse/-stelle an die man sich wenden kann, wenn man annimmt einen ""Multiuser"" (mehrfach registrierten Benutzer) gefunden zu haben?

Und was ist mit Usern die schon länger registriert sind, selbst 0 Postings verfasst haben und in Threads auffallend oft von oben bis unten durchgehend nur mit rot oder grün bewerten?"
110,wegen der Zensur. Ich ersuche hiermit mein account ebenfalls zu löschen. Danke
111,"Dem Standard müssen meine Postings so verhasst sein, er veröffentlicht kein einziges Posting mehr. :D"
112,"Es bleibt für immer mit allen ihren Postings im derstandard.

Ihr Name wird nur durch eine UID ersetzt.

Natürlich ist es nicht wirklich unlöschbar, die Datenbank wo man nichts löschen kann muss mir ersteinmal einer zeigen.

Argumentiert wird mit Antworten auf ihre Postings die ja dann auch verschwinden würden. (ist für mich aber kein Argument... Antworten auf zensierte Postings werden ja auch gelöscht)

Das ganze ist sicher kein technisches Problem sondern ein Willensproblem."
113,"angranteln, viel mehr wird nicht möglich sein ... ich mach mich regelmäßig lustig über solche.
gell, dragomira."
114,"wollt ihr die verantwortung auf die poster abwälzen.
meinen klarnamen, meine adresse, meine geburtsdaten kriegt ihr niemals.
euch kann man nicht vertrauen wenn man in zukunft politisch verfolgt wird für das was man einmal geäußert hat und das nicht dem antihumanen ökologistischen fascho-mainstream angepasst war."
115,Blockwart elendiger !
116,die wollen deine postings ewig speicher um sie irgendeinmal gegen dich zu verwenden.
117,"also ich komm mit einem user auf beide seiten.
ich glaub das ist absicht."
118,Wie lange dauert (m)eine Löschung?
119,Wenn Sie Ihren Account löschen lassen wollen: http://derstandard.at/2000004506993/Frequently-Asked-Questions-zur-Community?_articlePage=11 (cmb)
120,http://www.regenbogenwald.de/themen/mps/
121,"Lieber Standard, ich gebe es jetzt nach x Versuchen für heute auf, online-standard zu lesen. die unerträgliche schwarz-werbung voll, quer und längs dauernd und immer wieder wegzuklicken nervt unglaublich und macht ihn für mich heute nicht mehr lesbar. bitte so etwas in zukunft überdenken, oder eine funktion einrichten, die irgendwie das 1x wegklicken für die IP-Adresse und den tag fixiert. Danke"
122,"möchte meinen posternamen ändern, wie geht das?
(bitte um antwort in worten und nicht verweis auf den link mit den forenregeln.)"
123,"Ein Löschungsersuchen nach dem DSG später, und alles sollte gelöscht sein."
124,Test
125,...und auch die neue firma personalisierte mail-adressen verwendet...
126,Würde ich ja gerne....
127,Service gleich Null.
128,
129,...
130,hat das funktioniert?
131,kommen manche Posts nicht durch :(
132,Ihre Postings sind aber online. (sni)
133,"Eine Frage: 

Gibt es eine Möglichkeit seinen Nick zu ändern? Wenn nicht, wie kann man die bestehende Registrierung löschen und sich neu registrieren mit der selben E-Mailadresse?"
134,"Liebe/r Reizinger,

es ist nicht möglich den Postingnamen zu ändern. Sie können den Account löschen lassen und sich neu registrieren: http://derstandard.at/2000004506993/Frequently-Asked-Questions-zur-Community?_articlePage=11 (kub)"
135,Danke für die Antwort
136,"Wirklich? darf man das jetzt wieder?

http://derstandard.at/permalink/p/40862329"
137,"wird es nicht langsam Zeit, Toleranz zu üben und mich wieder freizuschalten? Soo schlimm waren meine Äußerungen auch nicht, es ärgerte mich (wie viele andere auch) vor allem die ""Schlagseite"", welche von Euch eh gelöscht wurde ;-)

Ich war jahrelanges Mitglied der Community, und würde dies gerne unter meinem jahrelangen Usernamen weiterhin sein.
Ein neuer Username macht - auch wenn möglich - nicht so viel Spaß und es würde mir auch die Historie abgehen.

Danke und liebe Grüße..."
138,"Ich habe ein Problem: ich bin registriert, über meinen PC, alles bestens. Nun habe ich mir einen Tablet gekauft, mich auch dort beim Standard registriert, unter einem anderen Usernamen, das ist bequemer. Aber: wenn ich vom Tablett einen Beitrag schreiben / Kommentieren will, wird der Bildschirm dunkel, nichts geht mehr. Was ist los?"
139,"Liebe/r Knjas N., bitte schicken Sie ein Mail mit einer möglichst detailierten Fehler- bzw. Problemdarstellung an foren@derstandard.at (cln)"
140,"ich schreibe zwar, aber sehe danach nicht dass ich gepostet hätte ?,"
141,Das erscheint ja auch nicht sofort. Da haben sich schon viele aufgeregt.
142,"""Sie wuren wegen Verstößen gegen die Community Richtlinien für das Bewerten gesperrt"" - na bum - und Postings von mir kommen seit Wochen auch keine mehr durch - egal, zu welchen Thema.

Ich sehe auch nicht, wegen welchem Vergehen ich hier gesperrt wurde.

Welcher Praktikant arbeitet denn hier?"
143,Wie kann ich mich dauerhaft abmelden?
144,"Ja, diese Frage ist in letzter Zeit häufiger zu hören. *lol*

Hängt das etwa damit zusammen, dass das Bewertungssystem gerade den Bach runter geht?"
145,Schicken Sie uns ein Mail an foren@derStandard.at (stn)
146,"es geht nicht, es wird gegangen. *grün* by the way."
147,Weshalb funktioniert mein Liveticker nicht?
148,Was genau funktioniert nicht? Bitte schicken Sie uns doch einen Screenshot an foren@derstandard.at
149,"Ich (40+) kann seit dem update die Texte kaum noch lesen, die Buchstaben sind viel zu klein. Auch finde ich den weissen Hintergrund recht langweilig und weis nicht mehr in welchem Ressort ich gerade bin Zoomen wie im Browser geht nicht. Die Buttons sind mitten im Text.... (Galaxy S4 mit Android 4.3)

Es gibt ja noch die Vollversion, aber die App wäre mir deutlich lieber"
150,"Vielen Dank für Ihre Fehlermeldung. Wir konnten das Problem mit der Hintergrundfarbe leider nicht nachvollziehen. Würden Sie uns bitte einen Screenshot an mobil@derstandard.at schicken?

Die Schriftgrösse des dargestellten Textes können Sie mit dem ""A+""- Symbol im rechten Bereich der Top-Toolbar ändern. In dieser finden Sie ebenso die Info über das aktuelle Ressort. Als zusätzliche Navigationshilfe können Sie den linken Button in der unteren Aktionsleiste benutzen. 
Bitte prüfen Sie, ob die eben beschriebenen Elemente auf Ihrem Gerät funktionieren. Falls nicht, wären wir auch hier über eine Rückmeldung dankbar."
151,"* Im gedrehten Bildschirm Modus (Widescreen) ist der ""Homebutton"" unten links eher störend. Ich würde ihn unter die Topic-Scrollleiste geben.

* No offense ! Aber das Icon für diese App ist grottenhässlich.
Das Icon für die e-paper Version hingegen ist ansprechend und brauchbar.
(Ich bin kein Systemhacker der sich gleich eigene Icons bastelt, und das sollte auch nicht notwendig sein)

Ansonsten bin ich zufrieden nach kurzem Test.
Keep on the good work."
152,"Freut mich, dass alles zur Zufriedenheit funktioniert!

Icons sind ja bekanntlich Geschmackssache, aber ich gebe das gerne an unseren Designer weiter."
153,"Immer wenn ich mich anmelden möchte und in eine der Text-Boxen klicke, kommt das Lade-Zeichen. Bei dem bleibt es dann auch, es sei denn man klickt irg wo auf den Bildschirm hin: Dann kann man beginnen, die Anmeldedaten einzugeben.
Also es funktioniert zwar, ist aber seltsam umständlich. Mein OS: 4.4 (KitKat) Gerät: Nexus 5"
154,wie komm ich denn mobil zur community?
155,"Benutzen Sie den Button ""Postings"" (über der Bildleiste im Artikeldetail - funktioniert in der mobilen Website als auch in der App) oder drücken Sie auf die rote Sprechblase in der unteren Toolbar der App."
156,"Soabald ich mich einloggen will zum posten erscheint: ""Um diese Funktion zu verwenden, benutzen sie bitte die aktuelle Version aus dem Play Store.""
--> Meine Version ist immer am aktuellen STand! :("
157,...posts bzw. Konto wäre eine gute Erweiterung....
158,Unbedingt umsetzen bitte.
159,"Liebe User,

wir haben soeben eine neue Version der App in den 
Playstore hochgeladen. (die Versionsnummer ist 
jetzt 1.2.1).

Es wurden einige Fehler (asynchrones Ladeverhalten, 
Stabilität etc.) sowie das lästige Anmeldeproblem 
auf Android-Versionen &gt;= 4.4 behoben."
160,"Gibt es eine Möglivhkeit, mit einem Android Tablet die Desktop-Version zu verwenden. Bei meinem Samsung 12.2 werde ich immer auf die mobile Seite umgeleitet, auch wenn in Chrome die ""Desktop-Version"" ausgewählt ist?"
161,"Danke für's posten. Das ist ein Ausschliessungsgrund, wenn das nicht geht."
162,tztz
163,"- ein vorwärts button
- link zu postings am ENDE des Artikels
- 'zurück zum Artikel' link bei den postings"
164,Gibts auf der mobilen Seite auch nicht.
165,Wieso wird manchmal ein Link zu einem Artikel aus der App im Browser geöffnet?
166,"Ich schätze die mobile Seite sehr, wieso sollte ich mir daher ein App installieren?
Ich Frage mich nur was dafür spricht, da ich persönlich eher mobile Seiten einer APP bevorzuge und mein Handy nicht mit Dritten Programmen überfracbten möchte."
167,Für dich ist sie auch nicht gemacht worden.
168,wenn ich Postings lese dreht sich der Bildschirm immer auf gerade und ist somit für mich unbrauchbar.
169,da bin ich aber ganz schön erleichtert und froh :-)
170,"Warum gibt es in der App keinen Wetterbereich, oder bin ich einfach nur zu dämlich und finde ihn nicht?"
171,Kann ich irgendwo meine postings einsehen?
172,"Die app bringt die Inhalte gleich wie die mobile Seite Rüber.
 Vorteil wäre, auf die eigenen Postings zurückgreifen zu können."
173,"ich kann über die App keine ""ansichtssache"" anschauen (bsp. Rezepte). die Bilder werden nicht geladen.

verwende nexus 5 mit Android 5.1.1"
174,"Ziemlich blöd ist ja auch, dass die APP keine liveticker unterstützt. Hat also noch Potenzial."
175,<Lob>Ich finde die App inzwischen sehr brauchbar. Ich verwende sie beinahe ausschliesslich.</Lob>
176,Bereits umgesetzt wurde der Link zu den Postings am Ende des Artikels und der Weg zurück zum Artikel.
177,In der App gibt es (noch) keinen Wetterbereich.
178,Kann Ihre Beschreibung leider nicht reproduzieren. Tritt das Problem noch auf?
179,"Wir sind gerade dabei, die mobile Version des Livetickers neu zu konzipieren und werden da auch die Apps berücksichtigen! (cmb)"
180,"Erhalte ich einen Zertifikatsfehler.

Wie vorgehen? Oder liegt der Fehler bei Ihnen?"
181,Wie komme ich zu meiner postinguebersicht?
182,"Ihre Postingübersicht finden Sie in Ihrem Userprofil, https://derstandard.at/userprofil/, dieses ist allerdings nicht mobil sondern nur in der Vollversion verfügbar."
183,"ha, hab ich auch schon gesucht. sollte eindeutig in der mobilversion auch verfügbar sein, bitte ganz oben auf die to do-liste schreiben. :)"
184,Freut mich sehr!!!
185,Ist wirklich ärgerlich!
186,Wie kann ich die push Meldungen deaktivieren?
